group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
10,ana,21.792368,5.19521,1.3000210676902816e-87,1.0038772723477077e-86,0.3580131208997188,0.024077602632946477
10,Ccdc85,42.867264,4.5943527,7.880150835590114e-243,2.4625471361219106e-241,0.7507029053420806,0.1347652866793695
10,spri,86.709,4.490418,0.0,0.0,0.9775070290534208,0.39615451238524163
10,bond,37.443943,4.4284735,1.4981543939647716e-201,3.4840799859645857e-200,0.6682286785379569,0.10064091460245973
10,CG8303,43.172226,4.408769,3.6664575477762357e-246,1.163954777071821e-244,0.7432052483598875,0.1214273341416941
10,CrebA,48.487473,4.257616,3.328790524868321e-291,1.5482746627294518e-289,0.8200562324273665,0.2180841849991339
10,CG31145,57.542507,3.8495767,0.0,0.0,0.9034676663542643,0.28875801143253077
10,H15,13.563788,3.8416739,7.523450054338421e-39,3.242866402732078e-38,0.1893158388003749,0.027022345401004677
10,nemy,15.17715,3.7833242,2.23199071327314e-47,1.083490637511233e-46,0.21930646672914714,0.027888446215139442
10,Tsp74F,44.645588,3.749866,7.355550429450694e-266,2.7242779368335905e-264,0.8256794751640113,0.2778451411744327
10,lncRNA:CR43314,44.97317,3.5821443,5.888052336498382e-280,2.4032866679585232e-278,0.8650421743205249,0.34193660142040533
10,CG42747,50.455067,3.5043304,0.0,0.0,0.9062792877225867,0.3261735666031526
10,pip,18.57824,3.4611056,2.2240765544085016e-67,1.3728867619805564e-66,0.32239925023430177,0.05560367226745193
10,CG4629,19.872948,3.3719835,1.0774796949692281e-75,7.280268209251541e-75,0.3580131208997188,0.05768231422137537
10,CG42524,32.03568,3.3476653,1.3081066393041818e-164,2.1621597343870774e-163,0.6588566073102156,0.17218084184999133
10,CG31869,34.790226,3.3227286,2.322801687173598e-188,4.995272445534619e-187,0.7731958762886598,0.31889831976442057
10,Cad86C,21.966425,3.3150787,1.0820650732167663e-89,8.622032455910488e-89,0.41705716963448924,0.06807552399099255
10,shd,11.07322,3.2157044,4.13114925093183e-27,1.3500487748143235e-26,0.14058106841611998,0.02165252035336913
10,rols,40.584526,3.1373005,7.791043450977234e-249,2.5544404757302405e-247,0.8491096532333646,0.27767192101160576
10,ELOVL,30.70009,3.135044,4.026112179545985e-156,5.877536028534284e-155,0.6747891283973758,0.18326693227091634
10,lncRNA:CR43146,10.519399,2.9896288,9.352155100396356e-25,2.9455606615421592e-24,0.13214620431115276,0.01974709856227265
10,mid,17.129618,2.9866745,1.0158910694319171e-58,5.6912664954169025e-58,0.3261480787253983,0.09146024597263122
10,CG17816,25.71783,2.950475,2.31720022631718e-117,2.4782890121039358e-116,0.5801312089971884,0.16369305387147065
10,peb,40.85179,2.9209898,4.544401925740481e-257,1.54047522906457e-255,0.8734770384254921,0.34522778451411745
